4,0,3,2,0.00276
4,0,2,3,0.005357
4,0,4,5,0.00223
6,-5.20949,2,4,0.005262
8,-2.01901,2,5,0.007928
10,2.63757,5,4,0.273697
12,6.48199,2,3,0.378526
14,14.7395,3,2,0.19908
16,15.1967,4,2,0.338605
18,15.9069,6,2,0.650043
20,17.2427,2,2,0.397156
22,19.4114,6,4,0.674038
24,23.9356,5,5,0.323761
26,27.8748,4,1,0.610407
28,28.1298,2,0,1.11132
30,30.1142,4,0,0.746578
32,32.8935,1,1,0.324045
34,37.0734,1,0,0.303231
36,40.0767,5,0,0.687928
38,39.2282,0,1,0.453977
40,35.8008,1,5,0.390282
42,44.7769,0,2,2.60801
44,39.7581,4,6,2.14459
4,0,4,5,0.006583
6,-5.20949,2,4,0.005642
8,-2.01901,2,5,0.005845
10,2.63757,5,4,0.300695
12,5.39832,4,6,0.535836
14,10.0592,5,5,0.433866
16,12.9862,4,2,0.400689
18,11.5277,5,6,0.511382
20,14.7753,3,2,0.444683
22,18.225,2,7,0.885086
24,24.4225,3,7,0.549785
26,25.9626,1,6,0.586827
28,24.431,0,5,0.467194
30,30.2433,1,7,0.228282
32,32.5276,0,4,0.156637
34,32.5716,5,7,0.160804
36,34.4147,1,3,0.140663
38,33.8893,6,5,0.156131
40,31.7005,6,4,0.218345
42,39.2542,5,2,1.49249
44,35.5422,7,4,1.23426
4,0,4,5,0.0045
6,-9.14216,5,4,0.006784
8,-9.14216,6,4,0.006966
10,3.4767,5,2,0.304462
12,7.20907,7,4,0.378741
14,11.0712,3,2,0.5324
16,10.3723,6,3,0.80986
18,8.07956,2,4,0.754875
20,6.04527,4,2,0.578937
22,13.9294,4,1,0.699524
24,16.9106,3,1,0.587407
26,23.8217,2,3,0.539382
28,23.3083,6,0,0.107073
30,23.5062,1,2,0.134933
32,31.1567,6,5,0.171382
34,34.222,4,0,0.263485
36,37.268,2,0,0.283227
38,35.3844,4,6,0.165283
40,33.2935,1,0,0.263304
42,41.6711,7,1,1.50968
44,37.4489,0,1,1.30048
46,37.4927,0,2,0.924315
48,39.8536,0,3,0.457761
4,0,5,4,0.006355
6,-9.95474,2,3,0.006445
8,-9.95474,2,2,0.00563
10,2.77421,5,3,0.208154
12,6.66031,2,4,0.870956
14,8.41375,4,5,0.560486
16,13.4422,4,2,0.709194
18,13.0107,3,6,1.18223
20,14.124,3,7,0.603149
22,15.5278,5,7,0.642637
24,21.5175,4,6,0.534598
26,21.1347,1,7,0.28381
28,21.1948,6,3,0.313721
30,20.723,6,7,0.369952
32,22.3017,1,6,0.297663
34,28.8746,7,6,0.318214
36,36.1157,6,5,0.303612
38,35.7606,1,5,0.262831
40,33.6283,7,5,0.223076
42,36.9591,7,3,2.13814
44,35.1176,0,5,1.1218
46,35.2181,1,4,0.565617
48,32.332,1,2,0.460361
4,0,2,3,0.006527
6,-9.14216,3,2,0.00472
8,-9.14216,1,3,0.007482
10,3.47918,2,5,0.227712
12,7.51499,4,2,0.233015
14,13.719,5,2,0.385573
16,15.0557,4,1,0.363315
18,18.1727,4,5,0.408792
20,21.0222,6,3,0.555168
22,22.8833,6,2,0.687644
24,26.9717,5,4,0.412023
26,27.6548,3,5,0.491316
28,27.6481,1,1,1.55034
30,27.5992,6,5,1.51359
32,29.3718,0,3,2.17339
34,34.9417,0,1,0.722267
36,35.1228,2,1,0.589348
38,37.5397,2,0,0.583608
40,35.2833,3,0,0.302579
42,40.6294,5,0,3.12542
44,36.6021,6,0,1.9983
46,35.4531,3,6,1.83245
48,40.1603,6,7,1.42363
50,40.4029,7,6,0.438609
52,37.2497,7,1,0.112079
54,36,7,2,0.019048
56,36,3,7,0.000554
58,36,1,5,0.000264
60,44,0,5,0.00026
62,44,0,7,0.000169
64,44,-1,-1,0.000215
64,44,-1,-1,0.0002
64,44,-1,-1,0.000177
4,0,3,2,0.006466
6,-9.14216,2,3,0.0065
8,-9.14216,3,1,0.007721
10,-3.76501,2,0,0.00348
12,1.87279,1,1,0.523958
14,11.5745,1,3,0.162744
16,13.2429,4,0,0.13076
18,17.8097,4,1,0.097337
20,20.1655,0,1,0.169098
22,26.5595,5,0,0.136427
24,27.0095,1,4,0.116459
26,27.982,0,4,0.077898
28,27.6847,0,5,0.073125
30,25.688,1,6,0.112246
32,28.1118,1,7,0.119109
34,27.7975,1,0,0.076135
36,30.0287,5,2,0.068972
38,35.8158,6,0,0.072672
40,37.6455,7,1,0.056235
42,43.4259,6,2,0.09711
44,43.2176,7,2,0.073174
46,44.4096,7,4,0.064035
48,42.2581,3,5,0.077516
50,42,5,4,3.42613
52,44,5,5,0.039217
54,48,6,4,0.001443
56,48,3,7,0.000261
1,0,32766,368106613,6.95334e-310
5,-2.316,2,2,0.006556
7,8.9625,1,3,0.005148
9,8.9625,4,2,0.003706
11,-0.597085,5,2,0.328606
13,4.02522,2,4,0.578064
15,8.36191,5,3,0.431659
17,5.62189,5,5,0.538051
19,13.7398,4,1,0.378346
21,14.6336,2,5,0.573639
23,17.5157,5,4,0.689983
25,25.2807,6,0,0.524445
27,24.2392,3,1,0.367985
29,30.9911,4,0,0.344343
31,30.1022,6,2,0.371139
33,32.3032,7,3,0.248896
35,33.5412,6,3,0.085445
37,30.0403,7,4,0.090741
39,33.1544,1,5,0.134357
41,30.0945,2,0,0.163115
43,36.4952,2,1,1.02613
45,40.8594,0,2,0.554997
47,38.4042,0,6,0.1429
49,36.7384,0,4,0.173444
51,39,1,7,7.28676
53,39,2,6,0.045492
55,39,3,7,0.001081
57,39,4,6,0.000263
59,39,5,6,0.000204
61,39,7,6,0.000193
63,-999,-1,-1,0.00012
63,-999,-1,-1,0.000184
63,-999,-1,-1,0.000154
4,0,5,4,0.006721
6,-9.95474,2,3,0.005228
8,-8.13734,3,6,0.005278
10,0.441998,5,2,0.263422
12,3.43164,4,2,0.302393
14,5.97922,2,2,0.893353
16,11.4421,4,6,1.25677
18,10.3685,6,4,0.772028
20,13.1017,3,2,0.528336
22,13.1309,2,5,0.60025
24,20.1526,2,4,0.620407
26,18.7442,6,5,1.62386
28,17.144,2,6,0.834239
30,18.8008,1,3,0.888594
32,23.3221,6,2,0.953694
34,33.618,1,4,0.551581
36,36.0611,0,4,0.54895
38,35.5602,6,0,0.531924
40,36.543,5,1,0.284565
41,29.1051,3,0,0.253403
42,37.2013,1,0,2.11737
43,28.6516,0,1,1.28784
44,28.3569,0,2,0.675423
45,30.3764,1,1,0.399318
46,26.555,7,3,0.415973
47,18.6542,7,5,0.192249
48,19.6392,7,6,0.149066
49,9.44571,0,6,0.248117
4,0,3,2,0.00696
6,-9.95474,4,5,0.005437
8,-6.42799,3,5,0.005773
10,0.113315,3,1,0.004722
12,3.99955,5,2,1.11997
14,10.4862,2,1,0.506616
16,12.0273,6,1,0.590942
18,10.2269,7,2,0.498463
20,8.9505,2,3,0.451966
22,14.9825,2,5,0.918426
24,19.7275,4,1,0.559186
26,20.9372,5,1,0.466642
28,24.4939,5,3,0.399844
30,26.8072,7,1,0.289368
32,30.1089,6,3,0.363064
34,37.6371,3,0,0.340318
36,38.0426,5,5,0.285841
38,36.2198,1,0,0.329868
40,34.8125,0,1,0.41056
42,40.3492,1,3,2.45697
44,39.6695,5,6,1.94772
46,40.0426,7,4,1.67066
48,38.8793,7,3,0.564407
50,38.7724,5,7,0.318343
52,42,6,7,0.369249
54,42,0,3,0.009258
56,42,0,5,0.000494
58,42,2,6,0.000261
60,46,1,5,0.000202
4,0,2,3,0.002404
6,-9.95474,5,4,0.00436
8,-8.13734,4,1,0.004765
10,-2.75202,2,2,0.003286
12,2.65071,2,4,0.329117
14,3.90483,0,3,0.667292
16,6.92434,5,5,0.365704
18,6.03722,5,1,0.560067
20,4.7197,5,3,0.436985
22,10.2978,1,0,0.656484
24,14.1905,3,1,0.700246
26,17.7248,3,0,0.397435
28,16.8992,5,0,0.643001
30,22.3402,1,1,0.402029
32,22.927,0,2,0.347371
34,23.8293,5,2,0.635466
36,26.5612,6,4,0.491285
38,32.2249,7,2,0.227892
40,31.8754,1,2,0.107802
42,36.2528,4,6,0.932192
44,32.884,3,6,1.48162
46,35.4546,1,4,0.835561
48,37.0393,4,7,0.335446
50,37.1685,6,7,0.22321
52,64,1,7,0.427418
53,64,7,0,0.033042
55,64,7,3,0.001632
4,0,3,2,0.00238
6,-5.20949,5,3,0.003949
8,-3.69075,6,3,0.005683
10,4.42969,5,2,0.186704
12,10.0985,5,4,0.186044
14,10.7308,7,4,0.456889
16,11.2416,6,5,0.253638
18,10.718,6,2,0.295153
20,11.7997,2,3,0.387309
22,16.6659,5,5,0.304639
24,20.1085,2,5,0.85567
26,25.1026,4,5,0.501215
28,24.0311,5,6,0.384579
30,28.097,7,6,0.373936
32,33.8597,7,1,0.53271
34,33.7828,6,7,0.33703
36,34.2331,5,7,0.26426
38,34.1902,3,7,0.219265
40,32.3294,5,1,0.344959
42,37.9621,1,6,0.710048
44,42.9014,1,5,0.527528
46,44.6141,0,5,0.384015
48,42.4035,1,7,0.168109
50,42,6,1,6.32346
52,42,1,1,0.039501
54,-999,1,3,0.000209
56,-999,1,2,0.000181
58,50,1,0,0.000218
60,-999,-1,-1,0.000184
61,-999,-1,-1,0.000213
62,-999,-1,-1,0.000188
62,-999,-1,-1,0.000189
62,-999,-1,-1,0.000161
